,urls,pics,address,price,bed,baths,sqFt,policy
15,https://www.redfin.com/PA/Pittsburgh/513-N-Neville-St-15213/unit-A-1/apartment/182789392,https://ssl.cdn-redfin.com/photo/rent/eabba10a-60c8-4d9b-9c6a-ffc45df973d7/islphoto/genIsl.0_1.jpg,513 N Neville St Unit A-1,—,—,—, ,
16,https://www.redfin.com/PA/Pittsburgh/5405-Fifth-Ave-15232/apartment/74665488,https://ssl.cdn-redfin.com/photo/rent/c65c2170-05e9-4db9-92c5-7ea6a7fb0b5d/islphoto/genIsl.0_1.jpg,5405 Fifth Ave,"$1,445/mo",2,1,725,Dogs Welcome
17,https://www.redfin.com/PA/Pittsburgh/333-Morewood-Ave-15213/apartment/74662005,https://ssl.cdn-redfin.com/photo/rent/77285d22-aa05-49b5-af6c-b6dfc7a14858/islphoto/genIsl.0_1.jpg,333 Morewood Ave,"$1,399/mo",1,1,825,Cats Welcome
18,https://www.redfin.com/PA/Pittsburgh/5531-Kentucky-Ave-15232/unit-3/apartment/182582886,https://ssl.cdn-redfin.com/photo/rent/95c1b2b0-16d9-49a2-9abd-39d84cb87eec/islphoto/genIsl.1_1.jpg,5531 Kentucky Ave Unit 3,"$1,650/mo",1,1,—,Cats Welcome
19,https://www.redfin.com/PA/Pittsburgh/352-Lamont-Pl-15232/home/74745702,https://ssl.cdn-redfin.com/photo/rent/4053a9c9-093a-41d2-ac95-4e060c2452e9/islphoto/genIsl.0_2.jpg,352 Lamont Pl,"$2,200/mo",2,2,—,Cats Welcome
20,https://www.redfin.com/PA/Pittsburgh/5747-Holden-St-15232/apartment/74745867,https://ssl.cdn-redfin.com/photo/rent/abe2cbd6-ae34-4f3a-9f59-7adc721189c8/islphoto/genIsl.0_4.jpg,5747 Holden St,"$1,295/mo",2,1,610,Dogs Welcome
21,https://www.redfin.com/PA/Pittsburgh/5934-Elwood-St-15232/unit-401/home/182745654,https://ssl.cdn-redfin.com/photo/rent/121d562b-2328-4d27-83e0-df7f09cd666b/islphoto/genIsl.0_1.jpg,5934 Elwood St Unit 401,"$1,440/mo",1,1,—,Dogs Welcome
22,https://www.redfin.com/PA/Pittsburgh/5729-Holden-St-15232/apartment/74745878,https://ssl.cdn-redfin.com/photo/rent/c8439a7b-b33b-47c8-8733-fcde9607b695/islphoto/genIsl.0_1.jpg,5729 Holden St,"$2,250/mo",3,2,—,
23,https://www.redfin.com/PA/Pittsburgh/640-College-St-15232/unit-1/apartment/182789854,https://ssl.cdn-redfin.com/photo/rent/b739fa70-8182-49bd-8775-797f137e826c/islphoto/genIsl.0_1.jpg,640 College St Unit 1,$795/mo,1,1,—,
24,https://www.redfin.com/PA/Pittsburgh/Coronado-Apartments/apartment/74662295,https://ssl.cdn-redfin.com/photo/rent/77fc52bc-2059-41ed-b839-0f6dc5d969fc/islphoto/genIsl.0_1.jpg,5260 Centre Ave,$710/mo,0,1,365,Fish Welcome
